date,source,segment,customer_id,dealership_location,vehicle_type,product_area,rating,feedback
2026-01-01,Service Survey,First-time Buyer,DLR-CUST-10001,Downtown Auto Mall,Certified Pre-Owned,Sales Experience,5,The sales advisor listened carefully and helped me compare trims without pressure.
2026-01-02,Phone Follow-up,First-time Buyer,DLR-CUST-10002,Downtown Auto Mall,EV,Sales Experience,2,The salesperson kept pushing add-ons after I said I was not interested.
2026-01-03,Email Survey,First-time Buyer,DLR-CUST-10003,Downtown Auto Mall,Certified Pre-Owned,Sales Experience,3,"The test drive was helpful, but I waited too long before someone greeted me."
2026-01-04,Cars.com,First-time Buyer,DLR-CUST-10004,Northside Motors,Van,Sales Experience,4,The team explained the vehicle features clearly and made the buying process simple.
2026-01-05,Facebook,First-time Buyer,DLR-CUST-10005,Northside Motors,Luxury SUV,Financing,2,The final monthly payment was higher than what was discussed online.
2026-01-06,Google Reviews,Repeat Customer,DLR-CUST-10006,Northside Motors,Luxury SUV,Financing,1,Finance paperwork took almost three hours and several fees were not explained.
2026-01-07,Dealer Website,Repeat Customer,DLR-CUST-10007,West Valley Cars,Truck,Financing,4,The finance manager found a better rate than my bank and explained the terms well.
2026-01-08,Service Survey,Repeat Customer,DLR-CUST-10008,West Valley Cars,Truck,Financing,3,"Loan options were presented clearly, but the wait for approval was too long."
2026-01-09,Dealer Website,Repeat Customer,DLR-CUST-10009,West Valley Cars,Truck,Pricing,2,The advertised price did not include mandatory dealer add-ons.
2026-01-10,Service Survey,Repeat Customer,DLR-CUST-10010,Lakeside Dealership,Truck,Pricing,1,I felt misled by the online price because the quote changed at the dealership.
2026-01-11,Phone Follow-up,Luxury Buyer,DLR-CUST-10011,Lakeside Dealership,Luxury SUV,Pricing,4,The price was fair and the final invoice matched the quote.
2026-01-12,Email Survey,Luxury Buyer,DLR-CUST-10012,Lakeside Dealership,Luxury SUV,Pricing,3,"Discounts were good, but the fee breakdown should be easier to understand."
2026-01-13,Google Reviews,Luxury Buyer,DLR-CUST-10013,Airport Auto Center,Luxury SUV,Inventory,2,The car listed online was already sold when I arrived for my appointment.
2026-01-14,Dealer Website,Luxury Buyer,DLR-CUST-10014,Airport Auto Center,Sedan,Inventory,3,Inventory filters on the website are useful but some colors are listed incorrectly.
2026-01-15,Service Survey,Luxury Buyer,DLR-CUST-10015,Airport Auto Center,Truck,Inventory,4,They had several trims available and helped me find the right configuration.
2026-01-16,Phone Follow-up,Budget Buyer,DLR-CUST-10016,Downtown Auto Mall,Sedan,Inventory,1,I drove across town for a vehicle that was marked available but unavailable in store.
2026-01-17,Phone Follow-up,Budget Buyer,DLR-CUST-10017,Downtown Auto Mall,Truck,Trade-in,2,The trade-in offer was much lower than the estimate I received online.
